"","Janus.Tissue.ID","Neutron","Gamma","Total.dose","X..Fractions","Gender","JM.exp.series","DISEASE","Janus.Tissue.ID.1","HTG.Sample.label","Array","Element","let.7b","miR.143","miR.145","miR.16","miR.17","miR.214","miR.23a","miR.24","miR.27a","miR.34a","miR.574.5p","miR.720","miR.1195","miR.466f.3p","miR.467b","miR.503","miR.669i","miR.690","miR.701","miR.703","miR.706","miR.709","miR.712","miR.714","miR.872","miR.881","miR.92a","miR.155","miR.15a","miR.21","miR.19a","miR.20a","GUSB","GAPDH","miR.699","miR.685","miR.923","miR.1826","miR.1308","Quality","ElementCol","ElementRow","dose_rate","age","first_irrad"
"67","B1787","","G",545.7,1,"F",3,"FALSE","B 1787","3-B1787","72612B","C1",339,78,80,123,322,125,105,NA,125,NA,19613,1673,1691,1138,214,NA,219,1145,NA,NA,265,4957,1407,4183,150,NA,1530,NA,NA,84,157,79,NA,82,281,970,28406,28613,28728,"G","1","C",27.285,899,109
"68","B1787","","G",545.7,1,"F",3,"FALSE","B 1787","3-B1787","72612A","C1",297,NA,NA,105,813,80,91,NA,97,NA,23111,1609,2366,1648,89,NA,165,1127,NA,NA,312,5026,1225,5537,203,NA,1357,101,NA,169,136,82,NA,87,249,937,26017,25006,23137,"G","1","C",27.285,899,109
"69","B1794","N","",37.68,1,"M",3,"FALSE"," B 1794","54-B 1794","100711","F7",1888,59,NA,73,419,610,144,12206,165,NA,8762,21580,1297,1493,91,NA,846,854,NA,NA,174,4567,1170,3441,176,NA,1179,262,56,141,202,94,292,904,416,1056,32791,31968,11446,"N","7","F",1.884,810,115
"70","B1794","N","",37.68,1,"M",3,"FALSE"," B 1794","  86-M b1794","120810","F11",720,4,7,3,30,41,NA,NA,1,NA,261,1454,NA,6,NA,2,NA,42,NA,NA,4,209,91,184,1,NA,17,3,NA,NA,NA,NA,9119,17862,17,60,18758,4930,643,"N","11","F",1.884,810,115
"71","B1794","N","",37.68,1,"M",3,"FALSE","b 1794","53-b1794","72612B","E7",494,117,129,165,506,176,147,NA,150,80,13866,549,2166,1071,274,NA,96,1389,113,99,103,5604,1525,6965,393,83,1812,114,150,119,329,136,NA,200,714,2109,32342,34489,21510,"N","7","E",1.884,810,115
"72","B1794","N","",37.68,1,"M",3,"FALSE","b 1794","53-b1794","72612A","E7",424,93,101,130,129,344,88,NA,109,NA,12285,388,2539,1785,140,NA,NA,1610,NA,85,NA,5635,1095,8175,364,106,1509,NA,NA,107,755,NA,208,120,435,1290,28324,31995,18201,"N","7","E",1.884,810,115
"73","B1802","N","",18.84,1,"F",3,"FALSE"," B 1802","15-B1802","102011","G2",403,NA,NA,NA,NA,55,NA,2749,NA,NA,NA,455,173,280,NA,NA,NA,NA,NA,NA,NA,73,NA,800,NA,NA,179,NA,NA,NA,73,NA,111,NA,NA,NA,13421,183,79,"N","2","G",0.942,815,115
"74","B1802","N","",18.84,1,"F",3,"FALSE"," B 1802","","4022012","G2",1648,NA,NA,NA,NA,345,758,8175,NA,NA,233,237,453,1504,NA,NA,NA,NA,NA,NA,NA,215,90,1678,334,NA,583,NA,NA,NA,125,NA,132,335,NA,NA,7835,137,NA,"N","2","G",0.942,815,115
"75","B1802","N","",18.84,1,"F",3,"FALSE"," B 1846","","4022012","F2",1995,NA,NA,NA,225,343,215,8340,NA,NA,621,2103,528,1286,NA,NA,NA,99,NA,NA,NA,518,NA,1839,319,NA,595,NA,NA,NA,213,NA,NA,248,NA,135,31958,10074,227,"N","2","F",0.942,815,115
"76","B1822","control","control",0,0,"M",3,"FALSE"," B 1822","28-B 1822","100711","D4",2434,2069,338,230,255,657,960,12750,215,NA,31946,29445,1586,1554,89,NA,315,2991,NA,NA,137,7774,2898,8997,165,NA,2202,59,86,NA,153,69,225,541,884,2027,27396,34154,29280,"control","4","D",0,822,115
"77","B1822","control","control",0,0,"M",3,"FALSE"," B 1822","  46-M b1822","120810","F6",NA,NA,NA,1,NA,24,4,NA,NA,NA,939,2914,NA,3,NA,NA,NA,85,NA,NA,NA,296,160,274,NA,NA,6,NA,NA,NA,NA,NA,7414,17940,1,121,19922,3043,2399,"control","6","F",0,822,115
"78","B1822","control","control",0,0,"M",3,"FALSE","b 1822","28-b1822","72612B","D4",1652,193,235,619,339,1138,293,99,261,119,37236,6751,2242,1205,311,NA,3897,10224,97,100,376,24239,4071,13471,2317,109,2484,353,402,191,336,196,NA,279,1054,9413,33817,38708,37504,"control","4","D",0,822,115
